run,lead_plates,lead_thickness_mm,quantity,count,mean,median,std,p10,p90
51811,0,0.0,area,9324,49.064361572265625,44.75830078125,43.66652297973633,-0.869140625,101.6005859375
51811,0,0.0,area2,9324,17.714826583862305,-0.05859375,34.70399856567383,-1.3720703125,62.1142578125
51811,0,0.0,area_coin,1831,67.0490493774414,53.310546875,36.69511032104492,37.4462890625,113.0126953125
51811,0,0.0,area2_coin,1831,66.72567749023438,54.560546875,34.004737854003906,40.9619140625,107.724609375
5185,40,20.0,area,10957,41.281776428222656,40.2294921875,45.59381866455078,-1.3671875,97.541015625
5185,40,20.0,area2,10957,10.094412803649902,-0.3955078125,32.47578430175781,-12.509765625,53.82810974121094
5185,40,20.0,area_coin,1523,68.6244888305664,54.560546875,37.839744567871094,38.1513671875,113.98139190673828
5185,40,20.0,area2_coin,1523,68.25878143310547,55.9619140625,35.863468170166016,41.4375,113.57222747802734
5186,50,25.0,area,8926,52.40110397338867,46.416015625,44.400760650634766,-0.76904296875,107.91748046875
5186,50,25.0,area2,8926,15.048196792602539,-0.126953125,35.049198150634766,-1.435546875,59.45556640625
5186,50,25.0,area_coin,1579,69.07949829101562,55.2392578125,38.434268951416016,37.673828125,118.32909393310547
5186,50,25.0,area2_coin,1579,69.62085723876953,56.0595703125,37.34294891357422,41.0576171875,123.7060317993164
5187,60,30.0,area,9464,51.917205810546875,46.5576171875,43.23158645629883,-0.6528320908546448,104.43018341064453
5187,60,30.0,area2,9464,15.691548347473145,-0.1318359375,34.193546295166016,-1.38037109375,60.52587890625
5187,60,30.0,area_coin,1687,67.5684814453125,53.369140625,38.282222747802734,37.5087890625,113.34664154052734
5187,60,30.0,area2_coin,1687,69.27825927734375,56.8994140625,35.59651565551758,41.109375,115.26651000976562
