run,lead_plates,lead_thickness_mm,area_threshold,area2_threshold,n_total,n_up_area_gt30,n_down_area2_gt_threshold,n_coin,down_fraction,coin_fraction,coin_over_up
51811,0,0.0,30.0,30.0,9324,6852,2515,1831,0.2697340197340197,0.19637494637494637,0.26722124927028607
51811,0,0.0,30.0,25.0,9324,6852,2516,1831,0.2698412698412698,0.19637494637494637,0.26722124927028607
51811,0,0.0,30.0,20.0,9324,6852,2518,1831,0.27005577005577003,0.19637494637494637,0.26722124927028607
5185,40,20.0,30.0,30.0,10957,6553,1998,1523,0.18234918317057588,0.13899790088527883,0.2324126354341523
5185,40,20.0,30.0,25.0,10957,6553,1999,1524,0.18244044902801862,0.13908916674272154,0.232565237295895
5185,40,20.0,30.0,20.0,10957,6553,2000,1525,0.18253171488546135,0.13918043260016427,0.23271783915763772
5186,50,25.0,30.0,30.0,8926,6841,2024,1579,0.22675330495182613,0.17689894689670624,0.23081420844905715
5186,50,25.0,30.0,25.0,8926,6841,2024,1579,0.22675330495182613,0.17689894689670624,0.23081420844905715
5186,50,25.0,30.0,20.0,8926,6841,2025,1580,0.22686533721711852,0.17701097916199865,0.2309603859084929
5187,60,30.0,30.0,30.0,9464,7311,2174,1687,0.22971259509721048,0.17825443786982248,0.23074818766242647
5187,60,30.0,30.0,25.0,9464,7311,2175,1688,0.22981825866441252,0.17836010143702452,0.23088496785665436
5187,60,30.0,30.0,20.0,9464,7311,2175,1688,0.22981825866441252,0.17836010143702452,0.23088496785665436
